Set1,Set2,Size1,Size2,FFD
93k_OPENBABEL_samples 1,100_time_steps_generated_samples,50018,5045,4.2207084796277154
93k_OPENBABEL_samples 1,50_time_steps_generated_samples,50018,4968,4.195323460468904
93k_OPENBABEL_samples 1,48k_STRUCTURE_SEER_samples 1,50018,48166,1.6253377941199327
93k_OPENBABEL_samples 1,20_time_steps_generated_samples,50018,4796,4.479498081955636
93k_OPENBABEL_samples 1,300_time_steps_generated_samples,50018,5089,4.206635406723031
93k_OPENBABEL_samples 1,chembl_molecules_100k_filtered,50018,100000,4.306823270143202
93k_OPENBABEL_samples 1,zinc_samples_unfiltered_100k,50018,100000,7.0728423534559415
93k_OPENBABEL_samples 1,zinc_samples_filtered_100k,50018,100000,7.086590707341714
93k_OPENBABEL_samples 1,chembl_molecules_100k,50018,100000,4.630696541630111
93k_OPENBABEL_samples 1,pubchem_molecules_100k_filtered,50018,100000,2.9445453185431196
93k_OPENBABEL_samples 1,pubchem_molecules_100k,50018,100000,2.8890494366138864
93k_OPENBABEL_samples 1,250k_rndm_zinc_drugs_clean_3,50018,249455,5.382788411557719
100_time_steps_generated_samples,50_time_steps_generated_samples,5045,4968,4.748748008173103
100_time_steps_generated_samples,48k_STRUCTURE_SEER_samples 1,5045,48166,2.841308677212619
100_time_steps_generated_samples,20_time_steps_generated_samples,5045,4796,5.131515325441055
100_time_steps_generated_samples,300_time_steps_generated_samples,5045,5089,4.6635467326973155
100_time_steps_generated_samples,chembl_molecules_100k_filtered,5045,100000,6.132344969974687
100_time_steps_generated_samples,zinc_samples_unfiltered_100k,5045,100000,9.574963941993202
100_time_steps_generated_samples,zinc_samples_filtered_100k,5045,100000,9.588862890408958
100_time_steps_generated_samples,chembl_molecules_100k,5045,100000,6.661290260889632
100_time_steps_generated_samples,pubchem_molecules_100k_filtered,5045,100000,4.814947974510788
100_time_steps_generated_samples,pubchem_molecules_100k,5045,100000,5.048445310907872
100_time_steps_generated_samples,250k_rndm_zinc_drugs_clean_3,5045,249455,7.106927942900323
50_time_steps_generated_samples,48k_STRUCTURE_SEER_samples 1,4968,48166,2.961604311544604
50_time_steps_generated_samples,20_time_steps_generated_samples,4968,4796,5.022263693938923
50_time_steps_generated_samples,300_time_steps_generated_samples,4968,5089,4.751529543676266
50_time_steps_generated_samples,chembl_molecules_100k_filtered,4968,100000,6.429744755088167
50_time_steps_generated_samples,zinc_samples_unfiltered_100k,4968,100000,9.599785834279416
50_time_steps_generated_samples,zinc_samples_filtered_100k,4968,100000,9.613970929585017
50_time_steps_generated_samples,chembl_molecules_100k,4968,100000,6.930914687421118
50_time_steps_generated_samples,pubchem_molecules_100k_filtered,4968,100000,4.959480891379152
50_time_steps_generated_samples,pubchem_molecules_100k,4968,100000,5.171399679740069
50_time_steps_generated_samples,250k_rndm_zinc_drugs_clean_3,4968,249455,7.260040192577599
48k_STRUCTURE_SEER_samples 1,20_time_steps_generated_samples,48166,4796,3.4791387413432675
48k_STRUCTURE_SEER_samples 1,300_time_steps_generated_samples,48166,5089,2.7754722483229535
48k_STRUCTURE_SEER_samples 1,chembl_molecules_100k_filtered,48166,100000,3.473311075243893
48k_STRUCTURE_SEER_samples 1,zinc_samples_unfiltered_100k,48166,100000,7.380683756487197
48k_STRUCTURE_SEER_samples 1,zinc_samples_filtered_100k,48166,100000,7.397024959130617
48k_STRUCTURE_SEER_samples 1,chembl_molecules_100k,48166,100000,3.976621709086836
48k_STRUCTURE_SEER_samples 1,pubchem_molecules_100k_filtered,48166,100000,2.48050947075391
48k_STRUCTURE_SEER_samples 1,pubchem_molecules_100k,48166,100000,2.574891075913147
48k_STRUCTURE_SEER_samples 1,250k_rndm_zinc_drugs_clean_3,48166,249455,4.840460117564815
20_time_steps_generated_samples,300_time_steps_generated_samples,4796,5089,5.176750714583657
20_time_steps_generated_samples,chembl_molecules_100k_filtered,4796,100000,7.537181099747236
20_time_steps_generated_samples,zinc_samples_unfiltered_100k,4796,100000,10.074938371582014
20_time_steps_generated_samples,zinc_samples_filtered_100k,4796,100000,10.08768500607101
20_time_steps_generated_samples,chembl_molecules_100k,4796,100000,7.971511410445501
20_time_steps_generated_samples,pubchem_molecules_100k_filtered,4796,100000,5.655522083875715
20_time_steps_generated_samples,pubchem_molecules_100k,4796,100000,5.8249140579703
20_time_steps_generated_samples,250k_rndm_zinc_drugs_clean_3,4796,249455,8.102086545948572
300_time_steps_generated_samples,chembl_molecules_100k_filtered,5089,100000,5.9602327987298995
300_time_steps_generated_samples,zinc_samples_unfiltered_100k,5089,100000,9.391618877857843
300_time_steps_generated_samples,zinc_samples_filtered_100k,5089,100000,9.406739199509648
300_time_steps_generated_samples,chembl_molecules_100k,5089,100000,6.511832055612851
300_time_steps_generated_samples,pubchem_molecules_100k_filtered,5089,100000,4.735845207185671
300_time_steps_generated_samples,pubchem_molecules_100k,5089,100000,4.976841649690651
300_time_steps_generated_samples,250k_rndm_zinc_drugs_clean_3,5089,249455,6.924410832033765
chembl_molecules_100k_filtered,zinc_samples_unfiltered_100k,100000,100000,7.611435257704509
chembl_molecules_100k_filtered,zinc_samples_filtered_100k,100000,100000,7.633681087357057
chembl_molecules_100k_filtered,chembl_molecules_100k,100000,100000,0.7885973902234324
chembl_molecules_100k_filtered,pubchem_molecules_100k_filtered,100000,100000,1.9574287959197016
chembl_molecules_100k_filtered,pubchem_molecules_100k,100000,100000,2.2289787018238534
chembl_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,3.9133746807043206
zinc_samples_unfiltered_100k,zinc_samples_filtered_100k,100000,100000,0.0026462570349367128
zinc_samples_unfiltered_100k,chembl_molecules_100k,100000,100000,8.268868829883118
zinc_samples_unfiltered_100k,pubchem_molecules_100k_filtered,100000,100000,5.0927690307076
zinc_samples_unfiltered_100k,pubchem_molecules_100k,100000,100000,5.761026347740601
zinc_samples_unfiltered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,3.608363123682104
zinc_samples_filtered_100k,chembl_molecules_100k,100000,100000,8.296186910961154
zinc_samples_filtered_100k,pubchem_molecules_100k_filtered,100000,100000,5.113298152859209
zinc_samples_filtered_100k,pubchem_molecules_100k,100000,100000,5.790520467052028
zinc_samples_filtered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,3.625589823073712
chembl_molecules_100k,pubchem_molecules_100k_filtered,100000,100000,2.68243273259255
chembl_molecules_100k,pubchem_molecules_100k,100000,100000,2.479518639891646
chembl_molecules_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,4.958037903750791
pubchem_molecules_100k_filtered,pubchem_molecules_100k,100000,100000,0.484647151815865
pubchem_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,2.3340396763876794
pubchem_molecules_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,3.247785021385435
